,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,loge_week 1-3,loge_week 4-6,loge_week 7-9,loge_week 10-12
28,B3230,11.834900000000005,11.562833333333336,11.69886666666667,12.379033333333327,11.562833333333336,11.834900000000005,11.426799999999998,10.882666666666667,12.243000000000002,11.426800000000009,11.69886666666666,11.97093333333333,11.97093333333334,11.562833333333336,11.018699999999999,12.515066666666673,10.338533333333327,12.10696666666667,13.195233333333329,10.882666666666667,14.01143333333335,13.195233333333329,11.69886666666667,11.69886666666666,11.018700000000004,13.603333333333335,9.794400000000005,11.018700000000004,male,No,control,11.744211111111111,11.679433333333334,12.009800000000002,11.718300000000001,2.463360447792941,2.4578294602414075,2.4857229831638907,2.4611517224333856
29,B3231,12.787133333333342,12.651099999999998,12.923166666666667,11.834900000000005,12.106966666666667,12.923166666666667,11.97093333333333,13.331266666666664,12.243000000000011,13.059200000000004,13.603333333333335,11.56283333333333,13.875399999999996,13.467299999999998,12.787133333333339,14.283500000000002,11.562833333333336,13.603333333333335,14.011433333333331,11.834900000000005,11.426799999999998,11.290766666666665,13.603333333333335,13.875400000000004,13.73936666666667,14.827633333333333,12.243000000000002,12.379033333333336,male,No,experimental,12.401705555555557,13.020333333333335,12.787133333333335,13.136933333333337,2.5178340079554395,2.566512238091212,2.548439457031517,2.575427601749164
30,B3232,14.011433333333331,12.243000000000002,11.97093333333333,11.562833333333339,12.379033333333332,12.651099999999998,11.69886666666666,11.698866666666678,10.2025,11.834899999999996,10.474566666666671,10.746633333333332,12.106966666666667,13.331266666666673,12.923166666666667,11.69886666666667,9.386299999999999,14.147466666666666,13.603333333333335,11.97093333333333,11.97093333333333,13.059199999999993,11.154733333333338,10.882666666666667,9.794400000000001,15.643833333333335,11.69886666666666,9.65836666666667,male,No,experimental,12.084294444444444,11.485100000000003,12.242999999999999,11.698866666666666,2.4919066296993027,2.4410505431122984,2.5049543450917784,2.4594919710150207
31,B3233,10.610599999999998,17.618310256410258,11.999566666666677,13.0165,12.762266666666665,14.365633333333335,14.824333333333332,12.522133333333336,14.218400000000003,13.550266666666666,12.937700000000003,14.891100000000002,11.0183,14.884466666666672,12.941433333333329,12.919033333333331,13.51086666666667,15.349800000000005,11.604733333333328,13.950066666666672,12.707933333333333,12.600933333333337,13.363633333333341,10.84659999999999,11.877633333333337,13.076633333333334,9.028399999999994,14.686633333333342,male,Yes,experimental,14.097768376068379,13.43176666666667,13.283409523809524,12.211495238095239,2.64601651365709,2.597622548173094,2.58651585234661,2.502377740747445
32,B3234,13.059200000000013,17.45232051282051,13.43496666666666,12.483566666666665,13.61496666666666,14.388033333333343,13.63943333333333,13.360733333333332,14.94626666666667,14.305500000000002,13.345799999999997,13.818600000000007,12.566099999999995,14.944600000000007,14.018499999999996,15.404133333333341,13.413399999999998,13.850533333333331,13.975366666666662,14.419133333333331,13.330866666666669,12.893733333333332,12.467800000000002,13.889100000000006,9.746299999999998,11.471600000000002,12.367433333333333,12.102,male,Yes,experimental,14.168881196581195,13.898228571428573,14.058847619047617,12.13399523809524,2.6510480948042736,2.631761391110945,2.643251921362569,2.4960110370769137
33,B3235,13.467299999999998,19.515330769230772,12.960100000000006,13.765100000000002,13.232166666666668,14.685399999999994,15.515700000000002,16.207066666666655,14.456466666666675,15.483766666666664,15.465933333333336,16.385399999999997,14.174033333333332,15.236166666666675,14.989399999999996,14.923866666666662,14.755900000000008,14.50166666666666,14.140433333333332,15.500766666666667,15.199666666666664,14.322500000000009,14.07283333333334,13.2529,13.44243333333333,15.343166666666667,14.720233333333331,14.970733333333332,male,Yes,control,14.94563290598291,15.344119047619047,14.858814285714285,14.303542857142856,2.7044191438511116,2.7307322766888684,2.698593243758409,2.660507258828094
34,B3236,13.331266666666673,19.277064102564104,13.371933333333331,16.1967,14.55683333333333,15.813899999999999,16.496966666666676,14.921799999999998,16.485766666666667,12.86636666666667,14.184399999999995,14.151633333333342,14.928433333333333,14.609499999999997,17.832000000000004,17.651999999999997,12.740699999999999,15.418233333333337,15.0881,15.864900000000006,12.116933333333336,16.409866666666666,14.673366666666668,15.969000000000008,15.389200000000006,14.204299999999996,15.353533333333335,12.496,male,Yes,control,15.952232905982909,14.592557142857142,15.244695238095238,14.927895238095237,2.7695988135381047,2.6805116139940623,2.724231589298792,2.703231626267879
35,B3237,13.73936666666667,17.56911538461538,18.414445679012346,15.373033333333328,14.925533333333336,14.103933333333332,15.08893333333333,14.831800000000003,15.282200000000003,15.719333333333331,15.980199999999993,13.938866666666673,13.982833333333332,15.822599999999994,13.87873333333334,14.57963333333333,14.21466666666667,13.71366666666667,13.269899999999996,18.839800000000004,10.570800000000004,14.991466666666668,14.404200000000003,12.660233333333338,13.666800000000002,14.92303333333333,14.07116666666667,13.72320000000001,male,Yes,experimental,15.912499066160175,15.079690476190475,14.152457142857145,14.06287142857143,2.7671049051975953,2.7133488369176,2.6498882586857704,2.6435380923142424
36,B3238,11.562833333333336,18.803561538461537,16.82253333333334,13.417966666666661,14.019333333333337,14.811066666666665,13.99776666666667,14.645166666666663,14.551433333333337,15.264366666666666,15.031699999999997,13.531600000000001,13.542800000000007,14.494199999999992,15.430266666666668,13.663900000000005,11.591466666666665,12.087900000000005,9.706900000000001,11.282900000000001,9.374700000000004,13.663899999999995,12.722033333333336,11.881366666666668,8.894433333333332,14.770000000000001,15.657533333333335,15.689466666666664,male,Yes,experimental,15.312038034188035,14.437323809523807,11.876861904761908,13.325533333333334,2.728639318653963,2.6698167845382,2.4745921296100772,2.5896819942665634
37,B3239,12.787133333333342,11.69886666666666,10.746633333333342,6.937700000000002,17.276233333333337,10.882666666666664,11.834900000000005,12.106966666666667,12.923166666666667,10.338533333333332,14.147466666666666,10.610599999999998,13.195233333333338,15.23573333333334,14.555566666666662,10.882666666666672,12.651100000000007,14.419533333333336,13.059199999999999,13.059200000000004,12.787133333333333,13.059200000000004,14.011433333333331,13.875400000000004,11.56283333333333,13.195233333333338,13.875400000000004,12.651099999999998,male,No,control,11.562833333333336,12.651100000000001,13.059200000000002,13.1758,2.44779593125183,2.537744167914769,2.5694928662293495,2.5783818136465957
