,animal_id,sex,diet,sucrose,fat_old,lean_old,fat_new,lean_new,bodyweight_old,bodyweight_new,fat_change,lean_change,groupn,fat%_old,fat%_new,fat%_change,lean%_old,lean%_new,lean%_change
0,B3202,female,control,No,0.7475,17.8825,9.8525,20.86,20.2,32.3,9.104999999999999,2.977499999999999,1,3.700495049504951,30.5030959752322,26.802600925727248,88.52722772277228,64.58204334365325,-23.945184379119027
1,B3203,female,experimental,No,0.35750000000000004,18.425,13.87,22.83,21.0,38.0,13.5125,4.404999999999998,3,1.7023809523809526,36.5,34.79761904761905,87.73809523809524,60.07894736842104,-27.6591478696742
2,B3204,female,experimental,No,0.63,17.2675,4.645,18.93,19.6,25.1,4.015,1.6625000000000014,3,3.214285714285714,18.505976095617527,15.291690381331813,88.09948979591834,75.41832669322709,-12.681163102691258
3,B3205,female,control,No,0.735,17.43,5.435,21.652499999999996,20.1,28.7,4.699999999999999,4.222499999999997,1,3.6567164179104474,18.937282229965156,15.280565812054709,86.71641791044775,75.44425087108013,-11.272167039367616
4,B3206,female,control,No,0.4575,16.82,3.1125,19.955000000000002,19.8,24.7,2.655,3.1350000000000016,1,2.3106060606060606,12.601214574898787,10.290608514292726,84.94949494949495,80.78947368421053,-4.1600212652844135
5,B3207,female,experimental,No,1.2374999999999998,17.075,7.585,19.9425,19.8,29.3,6.3475,2.8674999999999997,3,6.249999999999998,25.887372013651877,19.637372013651877,86.23737373737373,68.06313993174061,-18.174233805633122
6,B3208,female,experimental,No,0.7174999999999999,18.5625,11.774999999999999,21.43,20.7,35.1,11.0575,2.8674999999999997,3,3.4661835748792265,33.54700854700854,30.08082497212931,89.67391304347827,61.054131054131055,-28.61978198934721
7,B3209,female,control,Yes,1.4725000000000001,16.4175,6.302500000000001,21.155,19.8,29.3,4.830000000000001,4.737500000000001,0,7.436868686868688,21.510238907849832,14.073370220981143,82.91666666666666,72.20136518771332,-10.715301478953336
8,B3210,female,control,Yes,0.5175000000000001,18.2125,11.655,22.017500000000002,20.8,35.3,11.1375,3.8050000000000033,0,2.4879807692307696,33.01699716713881,30.52901639790804,87.56009615384615,62.37252124645893,-25.187574907387216
9,B3211,female,control,No,0.645,17.43,1.8625,20.79,20.9,24.2,1.2175,3.3599999999999994,1,3.086124401913876,7.696280991735538,4.610156589821662,83.39712918660287,85.9090909090909,2.5119617224880386
10,B3212,female,control,No,0.2625,17.8875,7.36,20.884999999999998,20.9,30.2,7.0975,2.9974999999999987,1,1.2559808612440193,24.370860927152318,23.1148800659083,85.58612440191388,69.15562913907284,-16.430495262841035
11,B3213,female,control,Yes,0.505,18.232499999999998,8.3925,20.5975,20.0,30.6,7.8875,2.365000000000002,0,2.5250000000000004,27.42647058823529,24.90147058823529,91.1625,67.31209150326796,-23.85040849673203
12,B3214,female,control,Yes,0.7799999999999999,17.42,6.3375,20.647499999999997,19.4,29.1,5.5575,3.2274999999999956,0,4.020618556701031,21.778350515463917,17.757731958762886,89.7938144329897,70.95360824742268,-18.840206185567027
13,B3215,female,experimental,No,0.8599999999999999,16.5675,10.0075,20.544999999999998,19.4,32.3,9.1475,3.977499999999999,3,4.432989690721649,30.982972136222912,26.549982445501264,85.39948453608247,63.60681114551083,-21.792673390571636
14,B3216,female,experimental,No,0.8275,19.085,8.66,21.5,22.3,32.1,7.8325000000000005,2.414999999999999,3,3.710762331838565,26.978193146417446,23.26743081457888,85.58295964125561,66.97819314641744,-18.604766494838174
15,B3217,female,control,Yes,1.26,16.7225,9.2275,20.2275,19.1,31.4,7.967499999999999,3.504999999999999,0,6.596858638743456,29.386942675159233,22.790084036415777,87.5523560209424,64.4187898089172,-23.1335662120252
16,B3218,female,control,Yes,0.89,19.0075,11.0925,21.8625,20.9,34.8,10.202499999999999,2.8550000000000004,0,4.258373205741627,31.875000000000004,27.616626794258377,90.94497607655502,62.823275862068975,-28.121700214486047
17,B3219,female,experimental,Yes,1.1075,18.3025,11.415000000000001,21.822499999999998,20.6,35.1,10.307500000000001,3.5199999999999996,2,5.376213592233009,32.52136752136752,27.145153929134516,88.84708737864077,62.172364672364665,-26.6747227062761
18,B3220,female,experimental,Yes,0.9550000000000001,17.3475,6.3625,21.01,19.5,29.4,5.4075,3.6625000000000014,2,4.897435897435898,21.641156462585034,16.743720565149136,88.96153846153845,71.46258503401361,-17.49895342752484
19,B3221,female,experimental,Yes,0.5375,17.659999999999997,5.6275,20.5825,20.1,28.2,5.090000000000001,2.922500000000003,2,2.6741293532338304,19.95567375886525,17.28154440563142,87.86069651741292,72.98758865248227,-14.873107864930645
20,B3222,female,experimental,Yes,0.525,16.8925,8.627500000000001,20.7775,19.6,31.8,8.102500000000001,3.8850000000000016,2,2.6785714285714284,27.13050314465409,24.45193171608266,86.1862244897959,65.3380503144654,-20.8481741753305
21,B3223,female,experimental,Yes,0.61,17.997500000000002,14.397499999999999,22.445,21.3,38.7,13.7875,4.447499999999998,2,2.8638497652582156,37.20284237726098,34.33899261200276,84.49530516431926,57.997416020671835,-26.497889143647427
22,B3224,female,experimental,Yes,0.7775000000000001,17.6,10.440000000000001,20.4525,20.5,33.2,9.662500000000001,2.852499999999999,2,3.792682926829269,31.44578313253012,27.653100205700852,85.85365853658537,61.6039156626506,-24.24974287393477
23,B3225,male,control,Yes,0.8225,23.2075,12.7325,25.875,25.5,41.3,11.91,2.6675000000000004,4,3.2254901960784315,30.82929782082325,27.603807624744817,91.00980392156862,62.651331719128336,-28.358472202440282
24,B3226,male,control,Yes,0.7175,22.604999999999997,13.597499999999998,25.35,24.8,40.8,12.879999999999999,2.7450000000000045,4,2.8931451612903225,33.32720588235294,30.434060721062618,91.14919354838709,62.132352941176485,-29.016840607210604
25,B3227,male,control,Yes,0.23500000000000001,22.8775,11.1925,25.6875,24.8,40.3,10.957500000000001,2.8099999999999987,4,0.9475806451612903,27.77295285359802,26.82537220843673,92.24798387096774,63.740694789081886,-28.507289081885858
26,B3228,male,control,Yes,0.12250000000000001,24.0075,14.965,27.237499999999997,26.0,43.6,14.8425,3.229999999999997,4,0.47115384615384626,34.32339449541284,33.852240649258995,92.33653846153847,62.471330275229356,-29.86520818630911
27,B3229,male,control,No,0.8650000000000001,19.325,15.305000000000001,23.3125,21.7,40.1,14.440000000000001,3.9875000000000007,5,3.9861751152073737,38.16708229426434,34.180907179056966,89.0552995391705,58.1359102244389,-30.919389314731603
28,B3230,male,control,No,0.14500000000000002,21.605,7.6274999999999995,24.532500000000002,23.5,33.9,7.4825,2.927500000000002,5,0.6170212765957447,22.5,21.882978723404257,91.93617021276596,72.36725663716815,-19.568913575597804
