,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,1_week 1-3,1_week 4-6,1_week 7-9,1_week 10-12
32,B3234,5.212820512820513,5.212820512820513,5.266666666666666,6.533333333333331,6.800000000000002,6.533333333333334,5.899999999999999,6.7,6.2,6.233333333333334,5.766666666666666,6.166666666666667,6.833333333333333,3.6666666666666665,5.3,5.666666666666667,5.133333333333333,5.733333333333332,5.033333333333331,4.833333333333333,4.833333333333333,4.233333333333334,4.333333333333333,4.5,3.066666666666665,2.800000000000002,4.133333333333333,3.3333333333333335,male,Yes,experimental,5.922710622710623,5.938095238095238,5.219047619047619,3.7714285714285714,0.16884161048920773,0.16840417000801924,0.19160583941605838,0.26515151515151514
33,B3235,6.152564102564103,6.152564102564103,7.166666666666667,6.466666666666669,7.166666666666667,6.899999999999999,6.5666666666666655,7.266666666666666,7.166666666666667,7.0,7.099999999999999,6.266666666666666,7.733333333333333,6.099999999999999,6.466666666666666,4.8,5.233333333333334,5.133333333333333,5.633333333333333,5.633333333333333,5.033333333333334,4.866666666666667,6.266666666666666,6.033333333333334,5.733333333333332,5.5,5.433333333333333,5.3,male,Yes,control,6.6531135531135535,6.947619047619048,5.4190476190476184,5.590476190476189,0.15030556626108021,0.1439342015078821,0.18453427065026365,0.17887563884156732
34,B3236,5.8358974358974365,5.8358974358974365,7.400000000000001,7.833333333333333,7.366666666666667,8.2,7.166666666666667,7.100000000000001,6.466666666666666,6.166666666666667,7.166666666666667,6.333333333333333,6.3,5.800000000000002,6.8,5.266666666666666,5.599999999999999,5.333333333333333,4.133333333333333,4.100000000000001,4.266666666666666,5.366666666666667,4.9333333333333345,4.533333333333334,4.733333333333334,4.766666666666666,4.933333333333333,3.6666666666666665,male,Yes,control,7.091208791208791,6.476190476190476,5.071428571428571,4.704761904761905,0.14101968076863475,0.15441176470588236,0.1971830985915493,0.21255060728744937
35,B3237,4.851282051282051,4.851282051282051,7.8,7.3666666666666645,7.333333333333333,4.566666666666667,5.399999999999999,6.333333333333333,5.333333333333333,5.933333333333333,5.233333333333332,3.9666666666666663,5.5,5.099999999999999,5.066666666666667,3.933333333333335,4.199999999999998,4.466666666666666,4.666666666666667,4.2,4.800000000000002,4.166666666666667,3.900000000000001,3.0,3.9666666666666663,3.5333333333333314,3.7333333333333343,2.633333333333335,male,Yes,experimental,6.024175824175823,5.342857142857142,4.476190476190476,3.5619047619047626,0.16599781101787672,0.18716577540106957,0.22340425531914893,0.28074866310160423
36,B3238,5.205128205128205,5.205128205128205,6.866666666666667,6.6333333333333355,6.566666666666667,7.466666666666666,6.433333333333333,5.599999999999999,4.599999999999999,5.433333333333333,5.466666666666666,5.233333333333334,5.933333333333333,4.666666666666667,7.3,5.0,5.4333333333333345,3.6666666666666665,3.0333333333333337,4.366666666666667,4.133333333333333,5.0,4.4333333333333345,5.333333333333333,3.2666666666666657,4.899999999999999,4.5,4.0666666666666655,male,Yes,experimental,6.339560439560439,5.276190476190476,4.704761904761905,4.499999999999999,0.1577396429190501,0.18953068592057762,0.21255060728744937,0.22222222222222227
37,B3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
38,B3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
39,B3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
40,B3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,control,,,,,,,,
41,B3243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
42,B3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
43,B3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
44,B3246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,No,experimental,,,,,,,,
45,B3247,5.579487179487179,5.579487179487179,6.0,6.633333333333333,5.3,7.2,8.2,7.033333333333334,4.766666666666666,7.266666666666668,7.333333333333333,5.599999999999999,7.8,6.566666666666667,6.033333333333334,6.266666666666668,6.099999999999999,5.7,5.399999999999999,4.033333333333331,3.5333333333333337,3.6666666666666665,2.5,4.666666666666667,4.266666666666668,3.400000000000001,5.933333333333333,3.866666666666667,male,Yes,experimental,6.356043956043956,6.623809523809524,5.295238095238095,4.042857142857144,0.15733056708160442,0.1509705248023005,0.18884892086330937,0.24734982332155472
46,B3248,4.678205128205129,4.678205128205129,6.133333333333333,6.0,6.900000000000001,6.766666666666668,5.7,5.5,6.533333333333334,4.066666666666667,3.5,4.100000000000001,5.400000000000001,3.7666666666666657,5.166666666666667,4.366666666666667,4.3,4.900000000000001,5.366666666666667,4.733333333333334,4.366666666666667,4.033333333333334,4.233333333333334,3.366666666666667,2.4666666666666663,2.800000000000002,3.5666666666666678,3.599999999999999,male,Yes,experimental,5.836630036630038,4.695238095238095,4.742857142857143,3.4380952380952388,0.17133174344169697,0.21298174442190668,0.21084337349397592,0.2908587257617728
