,animal_id,2024-04-09 00:00:00,2024-04-12 00:00:00,2024-04-15 00:00:00,2024-04-18 00:00:00,2024-04-21 00:00:00,2024-04-24 00:00:00,2024-04-27 00:00:00,2024-04-30 00:00:00,2024-05-03 00:00:00,2024-05-06 00:00:00,2024-05-09 00:00:00,2024-05-12 00:00:00,2024-05-15 00:00:00,2024-05-18 00:00:00,2024-05-21 00:00:00,2024-05-24 00:00:00,2024-05-27 00:00:00,2024-05-30 00:00:00,2024-06-02 00:00:00,2024-06-05 00:00:00,2024-06-08 00:00:00,2024-06-11 00:00:00,2024-06-14 00:00:00,2024-06-17 00:00:00,2024-06-20 00:00:00,2024-06-23 00:00:00,2024-06-26 00:00:00,2024-06-29 00:00:00,sex,sucrose,diet,week 1-3,week 4-6,week 7-9,week 10-12,loge_week 1-3,loge_week 4-6,loge_week 7-9,loge_week 10-12
0,B3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
1,B3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
2,B3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
3,B3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
4,B3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
5,B3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
6,B3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
7,B3209,0.8908507298631285,0.8098642998755713,1.3274932614555275,1.1209943096735535,1.1415022269628272,1.2461036111760102,1.1717047960615719,1.4110417884002793,1.5577660483320845,2.651273255046842,1.952699765237804,1.5133423180592989,1.7454313313300416,1.8150453320264626,3.2317156527682855,1.61585782638414,1.9550355305072313,1.546913635249825,2.0801051435699818,1.421231686260206,1.4547570782562211,1.675744740434766,2.001113809004033,1.7847771810035944,2.1972302258574223,1.3181343108181767,1.7229562889940249,1.1548065016744264,female,Yes,control,1.1362770842008434,1.806657119776116,1.9008023647136987,1.6935375796837777,0.1277572027058574,0.5914782425127211,0.6422760942477563,0.5268195835720147
8,B3210,0.753876820656553,0.7292938808525358,1.5595725029687297,2.2591521685861307,1.9512245450676406,1.9148084619782728,1.8741081338195662,1.4826548114957832,1.995262599036183,2.1769332311024328,1.8708848520169257,2.0274442538593496,2.0605453845346027,1.4422635508503823,3.080662048071993,1.7600889676361378,1.8296448144584356,1.6061571361742897,1.9446914271712115,1.6943641264395983,1.380025080358045,1.3181343108181747,1.572303707074598,1.8174589561382013,1.5337484128221697,1.0569132952449725,1.2437263069893478,1.076567433990003,female,Yes,control,1.714693282212146,1.8651412404136656,1.8993762286156728,1.3741217747253525,0.5392342204322053,0.6233367823535361,0.6415255315413195,0.3178148177662075
9,B3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
10,B3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,control,,,,,,,,
11,B3213,0.7047603453604817,0.6428033919221974,1.0103542793319016,1.1522431629076415,1.5625040302299498,2.1872428157398836,1.3309412959008644,1.5167722049549255,0.8920754716981129,1.4895508803864594,1.5557531417369692,1.3280819502632661,1.5278240627297233,2.0274442538593482,2.7830135410119037,1.448174467042391,1.608235855504973,1.9278822592501823,2.2143054754132034,1.3697316834109292,1.5278240627297233,1.8205621871390059,1.2571386862836083,1.8144774204707603,1.4481744670423924,2.1872428157398893,1.0010188421310557,1.3933786763975433,female,Yes,control,1.314348162672073,1.476785995089829,1.8398810491947581,1.5602847278863219,0.2733408489474531,0.389868101439949,0.6097009223544135,0.444868322482932
12,B3214,0.5924645056354158,0.5982729811808615,0.31859838274932584,0.16205761893093454,0.43981594924991113,0.689606889067805,0.939356411054524,0.8268609053758169,1.8122869044701928,1.1070489259168503,1.511752858278398,1.9804764333066198,1.7233276157804462,2.5423507310299795,1.910024702477531,2.019616283767226,1.8423997386261526,1.687123254104386,1.7823685748214049,1.7987851274842312,1.9446914271712108,1.6973951892775947,3.585955823152585,1.7450502327860815,1.5363242172101885,2.335181328105854,2.035719536528161,1.224117285349041,female,Yes,control,0.5246180387055603,1.643443482022615,1.8550013012074487,2.0228205160585007,-0.6450848265027925,0.49679372474020833,0.6178853975186935,0.704492832578081
13,B3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
14,B3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,No,experimental,,,,,,,,
15,B3217,0.8928229165843293,0.6512355391556278,0.4810884670174723,0.2667689807709668,1.2434156092863278,0.9822400732983172,1.1714122355631786,1.2309482969860333,2.667054643469735,1.8485521138129344,1.6035883122859642,2.203294010571635,1.7957363391325654,1.3606104295002939,2.327423250603846,1.549546679735357,1.7297639467450796,1.041571635911258,1.3606104295002943,2.0002909826023014,0.9597705291378983,1.4757587426051049,1.0225885012176874,1.2100302213509766,2.0584765638673956,0.907893992799654,2.244670423915705,0.9847586375888248,female,Yes,control,0.7993601508486484,1.815683449394166,1.5669967791765766,1.414882440477907,-0.22394368277321675,0.59646195297738,0.4491609079643538,0.3470464467094476
16,B3218,0.6868095190048574,0.6633955581296915,1.4481744670423917,1.4205901914796784,1.181580094539841,1.119550261059694,1.4942527455391954,1.461047128971657,1.4547570782562211,1.7160867434452336,1.2454300416564565,0.7964959568733155,1.2117378193620014,1.3130115167851013,1.372617538327136,1.925680642661777,1.5929919137466295,1.5205831903945113,1.4128531385779424,1.099539873124779,0.9016935360829988,0.8957227259114039,0.7672784018364958,1.0268873493573323,1.6975822919219141,1.1263579188107486,1.0619946091644203,1.3813356454865886,female,Yes,control,1.2212572196317486,1.314080897907141,1.4037085475593964,1.1367369917841292,0.19988083603128012,0.2731374843066785,0.33911769684600546,0.12816187031827644
17,B3219,0.5556148952375365,0.47877453738553694,0.8378723702173836,1.3178387650085759,0.5699267257392648,0.9970124215407227,1.2671526586620923,0.7240872335211955,0.7359575160379365,0.7884505431675243,0.8087917778199009,0.863225564668406,1.036892918402352,0.8045413705791066,0.7469531461587069,1.60264641019358,0.8570828478414155,0.6430876446866207,0.9461406518010292,0.5604623262060167,1.1898514540023966,0.9620016102495882,1.0877399330229516,0.7012213208836849,0.6676329746364925,0.8420866345394634,0.7372524559488539,1.1711323950864572,female,Yes,experimental,0.9114295797589294,0.8231352748852031,0.9351749258413952,0.8812953320524988,-0.09274094538065224,-0.19463472378624794,-0.06702168073055441,-0.12636248555173335
18,B3220,0.7482016318864264,0.635971387103463,1.1387917399924263,1.0109897222748763,1.2309482969860333,2.189299047234675,1.3033570203381522,2.3521864070749117,1.8492073963772078,2.9520479520479492,2.05158049497672,1.8902487780342805,1.9550355305072282,2.061518947201523,2.5368021698535634,1.5534962464636568,1.491311578826632,2.0274442538593473,1.3240452270101868,1.5864093025328019,1.4418780563161193,1.2386513526617897,1.0599404609842178,1.0772385509227607,2.027444253859351,1.0455113225476775,0.8094923943980548,0.7482234746385692,female,Yes,experimental,1.2515595356549376,2.15883221517426,1.7087695478374723,1.1437859728589175,0.22439040219643108,0.7695674343739374,0.5357735488369504,0.13434378879292816
19,B3221,0.74854046091966,0.6529821042065117,1.560810258923469,1.3902474883606961,1.2901917979104942,2.1296683338858706,2.117955158049496,2.0359629271948925,2.6958324694173736,2.6067140406763016,2.3770036079730303,1.9045688445345412,2.410176077291976,1.6125618389769352,2.6182994364126437,0.6921783045863635,2.3814424569141512,1.5853699428674608,2.2072176359749562,1.7974400737996712,1.328081950263268,1.8996641538261925,1.0784277946060368,1.9807289484708823,1.5167722049549255,1.117990688556726,1.2461036111760122,1.6194697304947936,female,Yes,experimental,1.5236425235560895,2.2346885437235784,1.801432828688359,1.4941653045836527,0.4211038651541352,0.8041018643161886,0.5885823641874387,0.40156772622817016
